282L, 4, 0.1, 0
282L, 4, 0.1, 1
282L, 4, 0.1, 2
282L, 4, 0.1, 3
282L, 4, 0.1, 4
282L, 4, 0.1, 5
282L, 4, 0.1, 6
282L, 4, 0.1, 7
282L, 4, 0.1, 8
282L, 4, 0.1, 9
282L, 4, 1, 0
282L, 4, 1, 1
282L, 4, 1, 2
282L, 4, 1, 3
282L, 4, 1, 4
282L, 4, 1, 5
282L, 4, 1, 6
282L, 4, 1, 7
282L, 4, 1, 8
282L, 4, 1, 9
282L, 4, 10, 0
282L, 4, 10, 1
282L, 4, 10, 2
282L, 4, 10, 3
282L, 4, 10, 4
282L, 4, 10, 5
282L, 4, 10, 6
282L, 4, 10, 7
282L, 4, 10, 8
282L, 4, 10, 9
282L, 8, 0.1, 0
282L, 8, 0.1, 1
282L, 8, 0.1, 2
282L, 8, 0.1, 3
282L, 8, 0.1, 4
282L, 8, 0.1, 5
282L, 8, 0.1, 6
282L, 8, 0.1, 7
282L, 8, 0.1, 8
282L, 8, 0.1, 9
282L, 8, 1, 0
282L, 8, 1, 1
282L, 8, 1, 2
282L, 8, 1, 3
282L, 8, 1, 4
282L, 8, 1, 5
282L, 8, 1, 6
282L, 8, 1, 7
282L, 8, 1, 8
282L, 8, 1, 9
282L, 8, 10, 0
282L, 8, 10, 1
282L, 8, 10, 2
282L, 8, 10, 3
282L, 8, 10, 4
282L, 8, 10, 5
282L, 8, 10, 6
282L, 8, 10, 7
282L, 8, 10, 8
282L, 8, 10, 9
282L, 12, 0.1, 0
282L, 12, 0.1, 1
282L, 12, 0.1, 2
282L, 12, 0.1, 3
282L, 12, 0.1, 4
282L, 12, 0.1, 5
282L, 12, 0.1, 6
282L, 12, 0.1, 7
282L, 12, 0.1, 8
282L, 12, 0.1, 9
282L, 12, 1, 0
282L, 12, 1, 1
282L, 12, 1, 2
282L, 12, 1, 3
282L, 12, 1, 4
282L, 12, 1, 5
282L, 12, 1, 6
282L, 12, 1, 7
282L, 12, 1, 8
282L, 12, 1, 9
282L, 12, 10, 0
282L, 12, 10, 1
282L, 12, 10, 2
282L, 12, 10, 3
282L, 12, 10, 4
282L, 12, 10, 5
282L, 12, 10, 6
282L, 12, 10, 7
282L, 12, 10, 8
282L, 12, 10, 9
282L, 16, 0.1, 0
282L, 16, 0.1, 1
282L, 16, 0.1, 2
282L, 16, 0.1, 3
282L, 16, 0.1, 4
282L, 16, 0.1, 5
282L, 16, 0.1, 6
282L, 16, 0.1, 7
282L, 16, 0.1, 8
282L, 16, 0.1, 9
282L, 16, 1, 0
282L, 16, 1, 1
282L, 16, 1, 2
282L, 16, 1, 3
282L, 16, 1, 4
282L, 16, 1, 5
282L, 16, 1, 6
282L, 16, 1, 7
282L, 16, 1, 8
282L, 16, 1, 9
